date,operating_income,expenses,assets,liabilities,equity,revenue,cash_flow,net_income,debt_to_equity,roa,profit_margin,interest_expense,tax_expense,dividend_payout,roa_calc,profit_margin_calc,debt_to_equity_calc,anomaly_dividend,anomaly_leverage,anomaly_neg_equity,balance_diff,operating_margin,roe,cost_to_income_ratio,liquidity_ratio
2015-01-05,2404167.76,2408588.02,81240729.24,277305843.1,70924670.47,3940243.11,6659376.16,-4420.26,3.91,-5.440940820387939e-05,-0.0011218241810465345,175614.54,136655.3,2808563.51,-5.440940820387939e-05,-0.0011218241810465345,3.909864385161944,True,False,False,-266989784.33000004,0.6101572143856879,-6.23233068367896e-05,1.0018385821794733,0.02401455405899451
2015-01-06,2403950.68,3813999.06,283576905.9,250196114.8,85411753.74,5486266.78,4584731.53,-1410048.38,2.93,-0.004972366757176047,-0.26,1235596.44,1338468.96,632380.92,-0.004972366757176047,-0.25701418406051335,2.9292937311838414,True,False,False,-52030962.640000045,0.4381760450956415,-0.01650883301485995,1.5865546209958017,0.018324551257180435
2015-01-07,1522752.51,4704651.57,80425653.62,158545616.7,87288785.14,6693971.44,1083923.9,-3181899.06,1.82,-0.02,-0.48,1752422.18,527156.98,833020.99,-0.03956323532083469,-0.47533800950904564,1.8163343257179394,True,False,False,-165408748.21999997,0.2274811781987525,-0.03645255292414303,3.089570720852071,0.006836668982473358
2015-01-11,1185260.45,4931785.4,446035589.4,281544209.6,24432886.55,2450745.15,1766075.04,-3746524.95,11.52,-0.01,-0.6108,246241.45,119282.98,1423318.78,-0.008399609894447584,-1.5287289051658433,11.523166082887576,True,True,False,140058493.24999994,0.48363268208446725,-0.12440451949939331,3.2326774021629747,0.006272816061495728
2015-01-14,2911052.0,4643788.47,195950188.9,30463953.55,72455463.15,4514659.46,4338353.42,-1732736.48,0.42,-0.01,-0.38,564844.6,624278.99,1576428.82,-0.008842739523380985,-0.38380225471092344,0.42045074623196305,True,False,False,93030772.2,0.6447999070122555,-0.023914504230175496,1.5952269042256888,0.14240940240666825
2015-01-15,2636424.7,4414533.63,199850860.9,212072944.8,30663834.47,10339558.26,6270819.35,-1778108.92,6.92,-0.01,-0.17,900471.68,338777.5,527616.36,-0.008897179186482052,-0.17197145905921904,6.91606084058019,True,False,False,-42885918.370000005,0.2549842685445636,-0.0579871679694728,1.6744394899653305,0.029569162421514125
2015-01-16,2650640.59,2834771.26,351269129.8,386326614.7,20579617.01,5377765.79,7510966.38,-184130.67,18.77,-0.0005241868823054203,-0.03,1693794.74,665951.56,1873801.46,-0.0005241868823054203,-0.03423925049737058,18.77229369780191,True,True,False,-55637101.90999997,0.49288881173086563,-0.008947235019511182,1.069466479421867,0.01944201122625891
2015-01-30,1418053.71,2534980.73,252666921.3,357593395.5,30012517.43,6686168.57,4275088.48,-1116927.02,11.91,-0.004420551033167633,-0.17,273571.16,906666.57,1327738.28,-0.004420551033167633,-0.16705038293702487,11.914808423986312,True,True,False,-134938991.63,0.2120876396031397,-0.0372153726392688,1.7876478952267612,0.011955166213353626
2015-02-01,2534717.11,2535977.82,206407185.9,334148796.7,64697741.48,5518371.25,6046019.25,-1260.71,5.16,-6.107878436997769e-06,-0.00022845690202521262,1206626.65,1414854.45,1382941.85,-6.107878436997769e-06,-0.00022845690202521262,5.164767564618857,True,False,False,-192439352.28,0.45932341177661795,-1.9486151620759794e-05,1.000497377003148,0.018093793273264838
2015-02-06,3741523.92,4616806.55,229692162.1,166494523.8,29759853.09,14704639.12,3330223.83,-875282.63,5.59,-0.003810676959969284,-0.06,1216817.05,851420.64,1878194.05,-0.003810676959969284,-0.059524251010656566,5.594601670125382,True,False,False,33437785.20999998,0.25444513731119706,-0.029411523885987032,1.2339374673836108,0.0200020021919784
